CaseID,Activity,Timestamp,Originator
4519913465fbd1c3cb792b4088771770,Mencari supplier bahan mikrobial,2020-11-24 09:44:14,tim pencari
4519913465fbd1c3cb792b4088771770,Menerima informasi supplier,2020-11-24 09:44:17,tim pencari
4519913465fbd1c3cb792b4088771770,Memeriksa kelayakan bahan,2020-11-24 09:44:22,tim pencari
4519913465fbd1c3cb792b4088771770,Memeriksa sertifikat halal dan atau logo halal,2020-11-24 09:44:34,tim penguji halal
4519913465fbd1c3cb792b4088771770,Melakukan negosiasi,2020-11-24 09:44:50,tim pencari
4519913465fbd1c3cb792b4088771770,Mengevaluasi Pembelian,2020-11-24 09:45:09,bendahara
4519913465fbd1c3cb792b4088771770,Melakukan Pembelian,2020-11-24 09:45:14,bendahara
4519913465fbd1c3cb792b4088771770,Melakukan pembayaran,2020-11-24 09:45:18,bendahara
4519913465fbd1c3cb792b4088771770,Membayar dengan transfer bank,2020-11-24 09:45:23,bendahara
4519913465fbd1c3cb792b4088771770,Konfirmasi Pembayaran,2020-11-24 09:45:53,supplier
4519913465fbd1c3cb792b4088771770,Pembuatan Nota Transfer Bank,2020-11-24 09:45:57,supplier
4519913465fbd1c3cb792b4088771770,Menerima Bahan,2020-11-24 09:46:24,tim pencari
6085910605fbd1aa13f53d8012694521,Mencari supplier bahan mikrobial,2020-11-24 09:37:23,tim pencari
6085910605fbd1aa13f53d8012694521,Menerima informasi supplier,2020-11-24 09:37:25,tim pencari
6085910605fbd1aa13f53d8012694521,Memeriksa kelayakan bahan,2020-11-24 09:37:29,tim pencari
6085910605fbd1aa13f53d8012694521,Mencari supplier bahan mikrobial,2020-11-24 09:37:35,tim pencari
6085910605fbd1aa13f53d8012694521,Menerima informasi supplier,2020-11-24 09:37:39,tim pencari
6085910605fbd1aa13f53d8012694521,Memeriksa kelayakan bahan,2020-11-24 09:37:43,tim pencari
6085910605fbd1aa13f53d8012694521,Memeriksa sertifikat halal dan atau logo halal,2020-11-24 09:37:57,tim penguji halal
6085910605fbd1aa13f53d8012694521,Melakukan negosiasi,2020-11-24 09:38:10,tim pencari
6085910605fbd1aa13f53d8012694521,Mencari supplier bahan mikrobial,2020-11-24 09:38:55,tim pencari
6085910605fbd1aa13f53d8012694521,Menerima informasi supplier,2020-11-24 09:38:59,tim pencari
6085910605fbd1aa13f53d8012694521,Memeriksa kelayakan bahan,2020-11-24 09:39:04,tim pencari
6085910605fbd1aa13f53d8012694521,Memeriksa sertifikat halal dan atau logo halal,2020-11-24 09:39:16,tim penguji halal
6085910605fbd1aa13f53d8012694521,Melakukan negosiasi,2020-11-24 09:39:29,tim pencari
6085910605fbd1aa13f53d8012694521,Mengevaluasi Pembelian,2020-11-24 09:39:42,bendahara
6085910605fbd1aa13f53d8012694521,Mencari supplier bahan mikrobial,2020-11-24 09:40:21,tim pencari
6085910605fbd1aa13f53d8012694521,Menerima informasi supplier,2020-11-24 09:40:25,tim pencari
6085910605fbd1aa13f53d8012694521,Memeriksa kelayakan bahan,2020-11-24 09:40:29,tim pencari
6085910605fbd1aa13f53d8012694521,Memeriksa sertifikat halal dan atau logo halal,2020-11-24 09:40:42,tim penguji halal
6085910605fbd1aa13f53d8012694521,Melakukan negosiasi,2020-11-24 09:40:51,tim pencari
6085910605fbd1aa13f53d8012694521,Mengevaluasi Pembelian,2020-11-24 09:41:02,bendahara
6085910605fbd1aa13f53d8012694521,Melakukan Pembelian,2020-11-24 09:41:07,bendahara
6085910605fbd1aa13f53d8012694521,Melakukan pembayaran,2020-11-24 09:41:39,bendahara
6085910605fbd1aa13f53d8012694521,Membayar dengan uang tunai,2020-11-24 09:42:06,bendahara
6085910605fbd1aa13f53d8012694521,Konfirmasi Pembayaran,2020-11-24 09:42:41,supplier
6085910605fbd1aa13f53d8012694521,Pembuatan Nota Uang Tunai,2020-11-24 09:43:07,supplier
6085910605fbd1aa13f53d8012694521,Menerima Bahan,2020-11-24 09:43:38,tim pencari
6093323585fbd1cc5c36550084169889,Mencari supplier bahan mikrobial,2020-11-24 09:46:32,tim pencari
6093323585fbd1cc5c36550084169889,Menerima informasi supplier,2020-11-24 09:46:35,tim pencari
6093323585fbd1cc5c36550084169889,Memeriksa kelayakan bahan,2020-11-24 09:46:38,tim pencari
6093323585fbd1cc5c36550084169889,Memeriksa sertifikat halal dan atau logo halal,2020-11-24 09:46:53,tim penguji halal
6093323585fbd1cc5c36550084169889,Memeriksa kandungan dan sumber bahan microbial,2020-11-24 09:46:58,tim penguji halal
