CaseID,Activity,Timestamp,Originator
1468347325fc72dac68e623071709406,Mencari supplier bahan mikrobial,2020-12-02 01:01:18,tim pencari
1468347325fc72dac68e623071709406,Menerima informasi supplier,2020-12-02 01:01:20,tim pencari
1468347325fc72dac68e623071709406,Memeriksa kelayakan bahan,2020-12-02 01:01:24,tim pencari
1468347325fc72dac68e623071709406,Mencari supplier bahan mikrobial,2020-12-02 01:01:28,tim pencari
1468347325fc72dac68e623071709406,Menerima informasi supplier,2020-12-02 01:01:32,tim pencari
1468347325fc72dac68e623071709406,Memeriksa kelayakan bahan,2020-12-02 01:01:36,tim pencari
1468347325fc72dac68e623071709406,Memeriksa sertifikat halal dan atau logo halal,2020-12-02 01:01:47,tim penguji halal
1468347325fc72dac68e623071709406,Melakukan negosiasi,2020-12-02 01:01:58,tim pencari
1468347325fc72dac68e623071709406,Mengevaluasi Pembelian,2020-12-02 01:02:11,bendahara
1468347325fc72dac68e623071709406,Melakukan Pembelian,2020-12-02 01:02:17,bendahara
1468347325fc72dac68e623071709406,Melakukan pembayaran,2020-12-02 01:02:21,bendahara
1468347325fc72dac68e623071709406,Membayar dengan transfer bank,2020-12-02 01:02:26,bendahara
1468347325fc72dac68e623071709406,Konfirmasi Pembayaran,2020-12-02 01:03:18,supplier
1468347325fc72dac68e623071709406,Pembuatan Nota Transfer Bank,2020-12-02 01:03:23,supplier
1468347325fc72dac68e623071709406,Menerima Bahan,2020-12-02 01:04:40,tim pencari
1919989835fcf2c8d2adbf6007223891,Mencari supplier bahan mikrobial,2020-12-08 02:34:51,tim pencari
1919989835fcf2c8d2adbf6007223891,Menerima informasi supplier,2020-12-08 02:34:55,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa kelayakan bahan,2020-12-08 02:34:59,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa sertifikat halal dan atau logo halal,2020-12-08 02:35:10,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan alkohol,2020-12-08 02:35:18,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Mencari supplier bahan mikrobial,2020-12-08 02:35:45,tim pencari
1919989835fcf2c8d2adbf6007223891,Menerima informasi supplier,2020-12-08 02:35:50,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa kelayakan bahan,2020-12-08 02:35:53,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa sertifikat halal dan atau logo halal,2020-12-08 02:36:07,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan alkohol,2020-12-08 02:36:12,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan dan sumber bahan microbial,2020-12-08 02:36:17,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa jenis karbon dan nitrogen pada mikroba,2020-12-08 02:36:25,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan enzim pada mikroba,2020-12-08 02:36:31,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Kesimpulan Haram,2020-12-08 02:36:36,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Mencari supplier bahan mikrobial,2020-12-08 02:36:45,tim pencari
1919989835fcf2c8d2adbf6007223891,Menerima informasi supplier,2020-12-08 02:36:49,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa kelayakan bahan,2020-12-08 02:36:53,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa sertifikat halal dan atau logo halal,2020-12-08 02:37:03,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan alkohol,2020-12-08 02:37:09,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan dan sumber bahan microbial,2020-12-08 02:37:13,tim penguji halal
1919989835fcf2c8d2adbf6007223891,informasi tidak halal dari supllier,2020-12-08 02:37:22,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Kesimpulan Haram,2020-12-08 02:37:26,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Mencari supplier bahan mikrobial,2020-12-08 02:37:41,tim pencari
1919989835fcf2c8d2adbf6007223891,Menerima informasi supplier,2020-12-08 02:37:45,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa kelayakan bahan,2020-12-08 02:37:48,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa sertifikat halal dan atau logo halal,2020-12-08 02:38:01,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan alkohol,2020-12-08 02:38:12,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan dan sumber bahan microbial,2020-12-08 02:38:16,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa jenis karbon dan nitrogen pada mikroba,2020-12-08 02:38:21,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan enzim pada mikroba,2020-12-08 02:38:25,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Kesimpulan Haram,2020-12-08 02:38:31,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Mencari supplier bahan mikrobial,2020-12-08 02:38:40,tim pencari
1919989835fcf2c8d2adbf6007223891,Menerima informasi supplier,2020-12-08 02:38:43,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa kelayakan bahan,2020-12-08 02:38:46,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa sertifikat halal dan atau logo halal,2020-12-08 02:38:57,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan alkohol,2020-12-08 02:39:01,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan dan sumber bahan microbial,2020-12-08 02:39:05,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa jenis karbon dan nitrogen pada mikroba,2020-12-08 02:39:11,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan enzim pada mikroba,2020-12-08 02:39:17,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Kesimpulan Haram,2020-12-08 02:39:21,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Mencari supplier bahan mikrobial,2020-12-08 02:39:29,tim pencari
1919989835fcf2c8d2adbf6007223891,Menerima informasi supplier,2020-12-08 02:39:32,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa kelayakan bahan,2020-12-08 02:39:36,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa sertifikat halal dan atau logo halal,2020-12-08 02:39:44,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan alkohol,2020-12-08 02:39:48,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan dan sumber bahan microbial,2020-12-08 02:39:51,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa jenis karbon dan nitrogen pada mikroba,2020-12-08 02:39:56,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan enzim pada mikroba,2020-12-08 02:40:00,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Kesimpulan Haram,2020-12-08 02:40:04,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Melakukan negosiasi,2020-12-08 02:40:13,tim pencari
1919989835fcf2c8d2adbf6007223891,Mencari supplier bahan mikrobial,2020-12-08 02:40:18,tim pencari
1919989835fcf2c8d2adbf6007223891,Menerima informasi supplier,2020-12-08 02:40:22,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa kelayakan bahan,2020-12-08 02:40:25,tim pencari
1919989835fcf2c8d2adbf6007223891,Memeriksa sertifikat halal dan atau logo halal,2020-12-08 02:40:41,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan alkohol,2020-12-08 02:40:46,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan dan sumber bahan microbial,2020-12-08 02:40:52,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa jenis karbon dan nitrogen pada mikroba,2020-12-08 02:40:57,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Memeriksa kandungan enzim pada mikroba,2020-12-08 02:41:04,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Kesimpulan Haram,2020-12-08 02:41:08,tim penguji halal
1919989835fcf2c8d2adbf6007223891,Melakukan negosiasi,2020-12-08 02:41:18,tim pencari
1919989835fcf2c8d2adbf6007223891,Mengevaluasi Pembelian,2020-12-08 02:41:30,bendahara
1919989835fcf2c8d2adbf6007223891,Melakukan Pembelian,2020-12-08 02:41:36,bendahara
1919989835fcf2c8d2adbf6007223891,Melakukan pembayaran,2020-12-08 02:41:40,bendahara
1919989835fcf2c8d2adbf6007223891,Membayar dengan transfer bank,2020-12-08 02:41:48,bendahara
1919989835fcf2c8d2adbf6007223891,Konfirmasi Pembayaran,2020-12-08 02:41:57,supplier
1919989835fcf2c8d2adbf6007223891,Pembuatan Nota Transfer Bank,2020-12-08 02:42:01,supplier
1919989835fcf2c8d2adbf6007223891,Menerima Bahan,2020-12-08 02:42:14,tim pencari
2980170455fc72e81343816038576288,Mencari supplier bahan mikrobial,2020-12-02 01:04:50,tim pencari
2980170455fc72e81343816038576288,Menerima informasi supplier,2020-12-02 01:04:53,tim pencari
2980170455fc72e81343816038576288,Memeriksa kelayakan bahan,2020-12-02 01:04:57,tim pencari
2980170455fc72e81343816038576288,Memeriksa sertifikat halal dan atau logo halal,2020-12-02 01:05:09,tim penguji halal
2980170455fc72e81343816038576288,Melakukan negosiasi,2020-12-02 01:05:21,tim pencari
2980170455fc72e81343816038576288,Mencari supplier bahan mikrobial,2020-12-02 01:05:26,tim pencari
2980170455fc72e81343816038576288,Menerima informasi supplier,2020-12-02 01:05:30,tim pencari
2980170455fc72e81343816038576288,Memeriksa kelayakan bahan,2020-12-02 01:05:33,tim pencari
